time_observed_at,time_zone,latitude,longitude
2019-05-23 21:30:17 UTC,Pacific Time (US & Canada),48.3787312,-123.54182814
2019-05-29 00:49:22 UTC,Pacific Time (US & Canada),48.49500196,-123.3878422
2019-05-29 23:35:41 UTC,Pacific Time (US & Canada),48.509236,-123.4399722
2019-05-30 00:55:45 UTC,Pacific Time (US & Canada),48.4116666667,-123.3482966667
2019-05-31 16:01:09 UTC,Pacific Time (US & Canada),48.57267511,-123.43106707
2015-07-16 20:54:46 UTC,Eastern Time (US & Canada),48.5653109854,-123.4660708362
2019-06-04 23:00:00 UTC,Pacific Time (US & Canada),48.4368680503,-123.3552326334
2019-06-08 21:16:52 UTC,Pacific Time (US & Canada),48.546484655,-123.4725114782
2019-06-14 21:28:00 UTC,Arizona,48.5659383333,-123.4686566667
2019-06-16 16:36:18 UTC,Pacific Time (US & Canada),48.6007274482,-123.4786659083
2019-06-16 19:51:09 UTC,Pacific Time (US & Canada),48.5777755129,-123.4611259216
2019-06-09 20:00:00 UTC,Eastern Time (US & Canada),48.5631467896,-123.4694194794
2019-05-04 18:36:06 UTC,Pacific Time (US & Canada),48.4519616667,-123.4814216667
2019-06-20 19:33:43 UTC,Pacific Time (US & Canada),48.51774023,-123.42092744
2019-06-21 22:03:00 UTC,Pacific Time (US & Canada),49.578049,-124.883851
2019-06-15 22:11:01 UTC,Pacific Time (US & Canada),48.4743333333,-123.346175
2019-06-17 01:27:00 UTC,Pacific Time (US & Canada),48.4777638889,-123.4150861111
2019-07-01 21:39:00 UTC,Pacific Time (US & Canada),48.4569759483,-123.5078933304
2019-07-01 16:05:00 UTC,Pacific Time (US & Canada),48.5193910184,-123.4303162178
2019-07-01 16:26:00 UTC,Pacific Time (US & Canada),48.5193901301,-123.430312865
2019-07-01 23:56:00 UTC,Pacific Time (US & Canada),48.4178125768,-123.3425171478
2019-07-02 00:00:00 UTC,Pacific Time (US & Canada),48.4178777778,-123.342575
2019-07-01 16:33:00 UTC,Pacific Time (US & Canada),48.52004413,-123.4288280433
2019-07-01 21:52:00 UTC,Pacific Time (US & Canada),48.5594994391,-123.4605558893
2014-05-12 19:02:00 UTC,Hawaii,48.4916440998,-123.4579908237
2019-07-03 22:57:06 UTC,Pacific Time (US & Canada),48.429395786,-123.3956386043
2019-06-30 17:38:00 UTC,Auckland,48.5635765,-123.4706262
2019-06-02 19:23:00 UTC,Hawaii,48.6037078782,-123.4173748024
2019-07-12 22:13:39 UTC,Pacific Time (US & Canada),48.6146621664,-123.4397995094
2019-07-13 02:43:00 UTC,Pacific Time (US & Canada),48.56274833,-123.49777778
2019-07-13 20:03:39 UTC,Pacific Time (US & Canada),48.450784986,-123.3395520319
2019-07-13 20:20:05 UTC,Pacific Time (US & Canada),48.4516416584,-123.3391042707
2019-07-13 20:17:28 UTC,Pacific Time (US & Canada),48.4517556103,-123.339211559
2019-07-13 20:12:16 UTC,Pacific Time (US & Canada),48.4516686481,-123.3389458527
2019-07-13 23:25:56 UTC,Pacific Time (US & Canada),48.5516133333,-123.45868
2019-07-16 19:23:39 UTC,Pacific Time (US & Canada),48.417345,-123.36422
2019-07-09 19:58:19 UTC,Pacific Time (US & Canada),49.218659381,-123.9895996306
2019-06-24 20:00:59 UTC,Pacific Time (US & Canada),49.2194440396,-123.9902570813
2019-07-15 19:45:58 UTC,Pacific Time (US & Canada),49.2176857493,-123.9886801048
2019-07-17 13:35:21 UTC,Pacific Time (US & Canada),49.1127841177,-123.939305906
2019-07-12 16:48:00 UTC,Eastern Time (US & Canada),48.5668003364,-123.4553654778
2019-07-17 20:00:54 UTC,Pacific Time (US & Canada),49.2195524544,-123.9873537655
2019-07-17 23:23:39 UTC,Pacific Time (US & Canada),48.53344236,-123.43910111
2019-06-20 21:47:23 UTC,Pacific Time (US & Canada),48.5320782125,-123.3883053425
2019-07-17 10:24:00 UTC,Pacific Time (US & Canada),48.5093250572,-123.4401533267
2019-07-17 10:26:00 UTC,Pacific Time (US & Canada),48.5093974386,-123.4399942882
2019-07-18 17:38:28 UTC,Pacific Time (US & Canada),49.2183619785,-123.9919395102
2019-07-18 20:10:25 UTC,Pacific Time (US & Canada),49.2182802293,-123.9953670161
2019-07-18 23:19:58 UTC,Pacific Time (US & Canada),48.4508857132,-123.3389020838
2019-07-19 18:43:54 UTC,Pacific Time (US & Canada),48.4817934697,-123.3037010043
2019-07-19 22:25:33 UTC,Pacific Time (US & Canada),48.5093738,-123.44017083
2019-07-19 22:29:54 UTC,Pacific Time (US & Canada),48.50899084,-123.43978616
2019-07-19 22:31:15 UTC,Pacific Time (US & Canada),48.50924558,-123.43974613
2019-07-19 22:48:31 UTC,Pacific Time (US & Canada),48.50870661,-123.43770137
2019-07-19 22:53:44 UTC,Pacific Time (US & Canada),48.50929458,-123.43677226
2019-07-19 23:05:46 UTC,Eastern Time (US & Canada),48.5611658584,-123.4665881611
2019-07-19 23:19:31 UTC,Pacific Time (US & Canada),48.50945311,-123.43873739
2019-07-19 23:23:36 UTC,Pacific Time (US & Canada),48.50932946,-123.43963475
2019-07-21 23:15:46 UTC,Pacific Time (US & Canada),48.49014666,-123.30215245
2019-07-21 23:20:28 UTC,Pacific Time (US & Canada),48.48999015,-123.30154752
2018-05-06 00:56:10 UTC,Pacific Time (US & Canada),48.6334580953,-123.4077320248
2019-07-21 23:29:00 UTC,Pacific Time (US & Canada),48.48891408,-123.30152841
2019-07-21 23:36:01 UTC,Pacific Time (US & Canada),48.48861838,-123.30113955
2019-07-21 23:41:35 UTC,Pacific Time (US & Canada),48.48825974,-123.30066618
2019-07-21 23:51:53 UTC,Pacific Time (US & Canada),48.4876152,-123.30076183
2019-07-21 23:54:25 UTC,Pacific Time (US & Canada),48.4873421,-123.30091678
2019-07-22 00:11:30 UTC,Pacific Time (US & Canada),48.48741329,-123.30122819
2019-07-22 00:13:20 UTC,Pacific Time (US & Canada),48.48756263,-123.30144089
2019-07-23 00:06:44 UTC,Pacific Time (US & Canada),49.1369390345,-123.9383843868
2019-07-23 00:16:54 UTC,Pacific Time (US & Canada),49.1367434915,-123.9385288668
2019-07-23 16:54:53 UTC,Pacific Time (US & Canada),48.4557333333,-123.3409116667
2019-07-23 16:58:49 UTC,Pacific Time (US & Canada),48.4561916667,-123.341025
2019-07-23 18:54:10 UTC,Pacific Time (US & Canada),48.4560083333,-123.3391883333
2019-07-23 19:04:14 UTC,Pacific Time (US & Canada),48.4552383333,-123.3394
2019-07-23 19:06:36 UTC,Pacific Time (US & Canada),48.4549783333,-123.3396133333
2019-07-23 19:11:24 UTC,Pacific Time (US & Canada),48.4545533333,-123.3396133333
2019-07-23 21:41:54 UTC,Pacific Time (US & Canada),48.4507837893,-123.3394920599
2019-07-20 11:43:00 UTC,Pacific Time (US & Canada),48.4125954915,-123.5163140226
2019-07-20 11:43:00 UTC,Pacific Time (US & Canada),48.4125873858,-123.5162219244
2019-07-20 11:22:00 UTC,Pacific Time (US & Canada),48.412488036,-123.5163829401
2019-07-24 16:51:21 UTC,Pacific Time (US & Canada),48.4439883333,-123.3432166667
2019-07-24 16:56:59 UTC,Pacific Time (US & Canada),48.4435116667,-123.34497
2019-07-24 17:06:50 UTC,Pacific Time (US & Canada),48.4429866667,-123.3456333333
2019-07-24 17:13:59 UTC,Pacific Time (US & Canada),48.4435366667,-123.3445366667
2019-07-24 17:54:46 UTC,Pacific Time (US & Canada),48.643122165,-123.4016312227
2019-07-24 17:56:07 UTC,Pacific Time (US & Canada),48.6432909881,-123.4016751415
